,No.,Title,Copies sold,As of,Release date[a],Genre(s),Developer(s),Publisher(s)
51,52,Miitopia,1.68 million[7],"March 31, 2022","May 21, 2021",Role-playing,Grezzo,Nintendo
52,52,Xenoblade Chronicles: Definitive Edition,1.68 million[8],"December 31, 2021","May 29, 2020",Action role-playing,Monolith Soft,Nintendo
53,54,Big Brain Academy: Brain vs. Brain,1.59 million[7],"March 31, 2022","December 3, 2021",Puzzle,Nintendo EPD,Nintendo
54,55,Mario Kart Live: Home Circuit,1.58 million[8],"December 31, 2021","October 16, 2020",Kart racingaugmented reality,Velan Studios,Nintendo
55,56,Dragon Ball Xenoverse 2,1.55 million[8],"December 31, 2021","September 7, 2017",Fighting,Dimps,Bandai Namco Entertainment
56,57,Pokkén Tournament DX,1.54 million[e],"January 2, 2022","September 22, 2017",Fighting,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo
57,58,Marvel Ultimate Alliance 3: The Black Order,1.50 million[8],"December 31, 2021","July 19, 2019",Action role-playing,Team Ninja,Nintendo
58,59,Nintendo Labo Toy-Con 01: Variety Kit,1.42 million[15],"December 31, 2020","April 20, 2018",Construction kit,Nintendo EPD,Nintendo
59,60,Resident Evil: Revelations Collection,1.30 million[20],"December 31, 2022","November 27, 2017",Survival horror,Capcom,Capcom
60,61,Astral Chain,1.28 million[8],"December 31, 2021","August 30, 2019",Action-adventurehack and slash,PlatinumGames,Nintendo
61,62,WarioWare: Get It Together!,1.27 million[7],"March 31, 2022","September 10, 2021",Party,Nintendo EPDIntelligent Systems,Nintendo
62,63,Naruto Shippudden: Ultimate Ninja Storm Trilogy,1.26 million[8],"December 31, 2021","July 27, 2017",Fighting,CyberConnect2,Bandai Namco Entertainment
63,64,Dr Kawashima's Brain Training for Nintendo Switch,1.20 million[8],"December 31, 2021","December 27, 2019",Puzzle,"Nintendo EPD, indieszero",Nintendo
64,65,Game Builder Garage,1.06 million[7],"March 31, 2022","June 11, 2021",Programming,Nintendo EPD,Nintendo
65,66,Bayonetta 2,1.04 million[8],"December 31, 2021","February 16, 2018",Action-adventurehack and slash,PlatinumGames,Nintendo
66,66,Bayonetta 3,1.04 million[6],"December 31, 2022","October 28, 2022",Action-adventurehack and slash,PlatinumGames,Nintendo
67,68,Enter the Gungeon,1 million[21],"March 3, 2019","December 14, 2017",Bullet hell,Dodge Roll,Devolver Digital
68,68,Fire Emblem Warriors: Three Hopes,1 million[22],"August 17, 2022","June 24, 2022",Hack and slashRole-playing,Omega Force,JP: Koei TecmoNA/PAL: Nintendo
69,68,Fitness Boxing,1 million[23],"September 8, 2020","December 20, 2018",Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo
70,68,Fitness Boxing 2: Rhythm and Exercise,1 million[24],"December 9, 2021","December 4, 2020",Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo
71,68,Shin Megami Tensei V,1 million[25],"April 18, 2022","November 11, 2021",Role-playing,Atlus,JP: AtlusNA: SegaPAL: Nintendo
72,68,Story of Seasons: Pioneers of Olive Town,1 million[26],"November 18, 2021","February 25, 2021",Simulationrole-playing,Marvelous,Xseed Games
73,68,Thief Simulator,1 million[27],"July 16, 2021","May 19, 2019",Stealth,Noble Muffins,Forever Entertainment
